company,year,invest,mvalue,kstock,time
6,1954-01-01,135.72,927.3,238.7,20
7,1935-01-01,24.43,138.0,100.2,1
7,1936-01-01,23.21,200.1,125.0,2
7,1937-01-01,32.78,210.1,142.4,3
7,1938-01-01,32.54,161.2,165.1,4
7,1939-01-01,26.65,161.7,194.8,5
7,1940-01-01,33.71,145.1,222.9,6
7,1941-01-01,43.5,110.6,252.1,7
7,1942-01-01,34.46,98.1,276.3,8
7,1943-01-01,44.28,108.8,300.3,9
7,1944-01-01,70.8,118.2,318.2,10
7,1945-01-01,44.12,126.5,336.2,11
7,1946-01-01,48.98,156.7,351.2,12
7,1947-01-01,48.51,119.4,373.6,13
7,1948-01-01,50.0,129.1,389.4,14
7,1949-01-01,50.59,134.8,406.7,15
7,1950-01-01,42.53,140.8,429.5,16
7,1951-01-01,64.77,179.0,450.6,17
7,1952-01-01,72.68,178.1,466.9,18
7,1953-01-01,73.86,186.8,486.2,19
7,1954-01-01,89.51,192.7,511.3,20
8,1935-01-01,12.93,191.5,1.8,1
8,1936-01-01,25.9,516.0,0.8,2
8,1937-01-01,35.05,729.0,7.4,3
8,1938-01-01,22.89,560.4,18.1,4
8,1939-01-01,18.84,519.9,23.5,5
8,1940-01-01,28.57,628.5,26.5,6
8,1941-01-01,48.51,537.1,36.2,7
8,1942-01-01,43.34,561.2,60.8,8
8,1943-01-01,37.02,617.2,84.4,9
8,1944-01-01,37.81,626.7,91.2,10
8,1945-01-01,39.27,737.2,92.4,11
8,1946-01-01,53.46,760.5,86.0,12
8,1947-01-01,55.56,581.4,111.1,13
8,1948-01-01,49.56,662.3,130.6,14
8,1949-01-01,32.04,583.8,141.8,15
8,1950-01-01,32.24,635.2,136.7,16
8,1951-01-01,54.38,723.8,129.7,17
8,1952-01-01,71.78,864.1,145.5,18
8,1953-01-01,90.08,1193.5,174.8,19
8,1954-01-01,68.6,1188.9,213.5,20
9,1935-01-01,26.63,290.6,162.0,1
9,1936-01-01,23.39,291.1,174.0,2
9,1937-01-01,30.65,335.0,183.0,3
9,1938-01-01,20.89,246.0,198.0,4
9,1939-01-01,28.78,356.2,208.0,5
9,1940-01-01,26.93,289.8,223.0,6
9,1941-01-01,32.08,268.2,234.0,7
9,1942-01-01,32.21,213.3,248.0,8
9,1943-01-01,35.69,348.2,274.0,9
9,1944-01-01,62.47,374.2,282.0,10
9,1945-01-01,52.32,387.2,316.0,11
9,1946-01-01,56.95,347.4,302.0,12
9,1947-01-01,54.32,291.9,333.0,13
9,1948-01-01,40.53,297.2,359.0,14
9,1949-01-01,32.54,276.9,370.0,15
9,1950-01-01,43.48,274.6,376.0,16
9,1951-01-01,56.49,339.9,391.0,17
9,1952-01-01,65.98,474.8,414.0,18
9,1953-01-01,66.11,496.0,443.0,19
9,1954-01-01,49.34,474.5,468.0,20
10,1935-01-01,2.54,70.91,4.5,1
10,1936-01-01,2.0,87.94,4.71,2
10,1937-01-01,2.19,82.2,4.57,3
10,1938-01-01,1.99,58.72,4.56,4
10,1939-01-01,2.03,80.54,4.38,5
10,1940-01-01,1.81,86.47,4.21,6
10,1941-01-01,2.14,77.68,4.12,7
10,1942-01-01,1.86,62.16,3.83,8
10,1943-01-01,0.93,62.24,3.58,9
10,1944-01-01,1.18,61.82,3.41,10
10,1945-01-01,1.36,65.85,3.31,11
10,1946-01-01,2.24,69.54,3.23,12
10,1947-01-01,3.81,64.97,3.9,13
10,1948-01-01,5.66,68.0,5.38,14
10,1949-01-01,4.21,71.24,7.39,15
10,1950-01-01,3.42,69.05,8.74,16
10,1951-01-01,4.67,83.04,9.07,17
10,1952-01-01,6.0,74.42,9.93,18
10,1953-01-01,6.53,63.51,11.68,19
10,1954-01-01,5.12,58.12,14.33,20
